Date,Account,Description,Category,Tags,Amount
2019-12-20,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-10.18
2019-12-20,"Sapphire Reserve","Uber","Travel",,-7.99
2019-12-20,"Sapphire Reserve","Nickys Carry Outs","Restaurants",,-11.66
2019-12-20,"Sapphire Reserve","Uber","Travel",,-8.4
2019-12-20,"Sapphire Reserve","Do Eat","Restaurants",,-53.85
2019-12-20,"Sapphire Reserve","Uber","Travel",,-2
2019-12-20,"Total Checking - Ending in 1220","Citadel Securiti Direct Depppd Id: Xxxxxx1102","Paychecks/Salary",,3944.85
2019-12-20,"Citadel Retirement - X7474","Fid Us Bond Idx - Contribution","Retirement Contributions",,71.08
2019-12-20,"Citadel Retirement - X7474","Fid Intl Index - Contribution","Retirement Contributions",,71.08
2019-12-20,"Citadel Retirement - X7474","Fid 500 Index - Contribution","Retirement Contributions",,73.22
2019-12-19,"Securities - Ending in 6900","Apple Inc - L/t Cap Gns 169 Shs","Investment Income",,-1.69
2019-12-19,"Securities - Ending in 6900","Apple Inc - S/t Cap Gns 169 Shs","Investment Income",,-1.69
2019-12-19,"Total Checking - Ending in 1220","Capital One","Credit Card Payments",,-2200
2019-12-19,"Sapphire Reserve","Uber","Travel",,-9.62
2019-12-19,"Venmo Bank Account","Quang Tran Paid Tuan Anh Pham Sokol Cu Nh T X P","Other Expenses",,-190
2019-12-18,"Securities - Ending in 6900","Apple Inc - L/t Cap Gns 169 Shs","Investment Income",,1.69
2019-12-18,"Securities - Ending in 6900","Apple Inc - S/t Cap Gns 169 Shs","Investment Income",,1.69
2019-12-18,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-1366.75
2019-12-18,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-400
2019-12-18,"Amazon Prime - Ending in 0790","Payment Thank You - Web","Credit Card Payments",,400
2019-12-18,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-36.1
2019-12-18,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-180.53
2019-12-18,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-34
2019-12-18,"Sapphire Reserve","Uber","Travel",,-8.93
2019-12-18,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,1366.75
2019-12-18,"Sapphire Reserve","Costco","Groceries",,-373.41
2019-12-17,"360 Performance Savings - Ending in 1286","Preauthorized Deposit From Checking Account Xxxxx1220","Deposits",,2200
2019-12-17,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-5.97
2019-12-17,"Sapphire Reserve","Tous Les Jours","Restaurants",,-29.23
2019-12-17,"Sapphire Reserve","Chicago Fire Rec Socce","Entertainment",,-106.82
2019-12-17,"Sapphire Reserve","H Mart","Groceries",,-71.05
2019-12-17,"Sapphire Reserve","H Mart","Groceries",,-35.42
2019-12-17,"Sapphire Reserve","7-eleven","Groceries",,-3.16
2019-12-16,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-16.99
2019-12-16,"Amazon Prime - Ending in 0790","Amazon.com","Entertainment",,-43.11
2019-12-16,"Amazon Prime - Ending in 0790","Amazon.com","Entertainment",,-22.96
2019-12-16,"Sapphire Reserve","Amazing Grass","General Merchandise",,-264.95
2019-12-16,"Sapphire Reserve","Sq *qing Xiang Yuan Dumpl","Restaurants",,-27.3
2019-12-16,"Sapphire Reserve","Shan Shaan Taste Inc.","Restaurants",,-14.3
2019-12-16,"Sapphire Reserve","Yeowoosai","Restaurants",,-22
2019-12-16,"Total Checking - Ending in 1220","Yeowoosai","Restaurants",,-22
2019-12-16,"Total Checking - Ending in 1220","Zelle","Transfers",,20
2019-12-15,"Venmo Bank Account","Evelyn Le Paid Quang Tran L U Th M Ngon No Ng Po Ng Tay Lun","Other Income",,20
2019-12-15,"Venmo Bank Account","Rom Bui Paid Quang Tran Escort Service","Other Income",,20
2019-12-15,"Sapphire Reserve","H-mart","Groceries",,-118.48
2019-12-15,"Sapphire Reserve","H-mart","Groceries",,-14.15
2019-12-13,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-53.01
2019-12-13,"Sapphire Reserve","H-mart","Groceries",,-52.75
2019-12-13,"Sapphire Reserve","Uber","Travel",,-9.12
2019-12-13,"Sapphire Reserve","H-mart","Groceries",,-28.51
2019-12-13,"Sapphire Reserve","Tous Les Jours","Restaurants",,-23.44
2019-12-13,"Citadel Retirement - X7474","Fid Intl Index - Dividend","Securities Trades",,46
2019-12-13,"Citadel Retirement - X7474","Fid 500 Index - Dividend","Securities Trades",,11.23
2019-12-12,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-250
2019-12-12,"Total Checking - Ending in 1220","Fb *marlenne Monroy Pay.fb.com Ca 12/11","Utilities",,-40.61
2019-12-12,"Sapphire Reserve","Triple Crown Restaurant","Restaurants",,-59.05
2019-12-12,"Sapphire Reserve","Uber","Travel",,-10.19
2019-12-12,"Sapphire Reserve","Payment Thank You-mobile","Credit Card Payments",,250
2019-12-12,"Sapphire Reserve","Chicago Fire Rec Socce","Entertainment",,-8
2019-12-11,"Sapphire Reserve","Mccb","Restaurants",,-56.31
2019-12-11,"Sapphire Reserve","Ventra","Travel",,-28
2019-12-11,"Freedom Unlimited","State Farm","Insurance",,-93.13
2019-12-10,"Sapphire Reserve","Wing Wah Chinese Restaurant","Restaurants",,-23.58
2019-12-10,"Sapphire Reserve","Tous Les Jours","Restaurants",,-22.61
2019-12-10,"Total Checking - Ending in 1220","Capital One","Deposits",,0.05
2019-12-10,"Total Checking - Ending in 1220","Capital One","Deposits",,0.21
2019-12-09,"Total Checking - Ending in 1220","Papa John's Pizza","Restaurants",,-21.91
2019-12-09,"Total Checking - Ending in 1220","Zelle","Transfers",,5
2019-12-09,"Sapphire Reserve","Jeni's Splendid Ice Creams","Restaurants",,-22.22
2019-12-09,"Sapphire Reserve","Uber","Travel",,-9.38
2019-12-08,"Sapphire Reserve","Uber","Travel",,-23.66
2019-12-08,"Sapphire Reserve","Oakley Hair Salon","Personal Care",,-15
2019-12-08,"Sapphire Reserve","Taquería","Restaurants",,-22.27
2019-12-06,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-71.59
2019-12-06,"Total Checking - Ending in 1220","Paypal Inst Xfer Netflix.com Web Id: Paypalsi77","Dues & Subscriptions",,-14.06
2019-12-06,"Total Checking - Ending in 1220","Citadel Securiti Direct Depppd Id: Xxxxxx1102","Paychecks/Salary",,3964.67
2019-12-06,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-550
2019-12-06,"Amazon Prime - Ending in 0790","Payment Thank You - Web","Credit Card Payments",,71.59
2019-12-06,"Sapphire Reserve","Mcdonald's","Restaurants",,-15.69
2019-12-06,"Sapphire Reserve","Uber","Travel",,-20.79
2019-12-06,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,550
2019-12-06,"Sapphire Reserve","Uber","Travel",,-27.93
2019-12-06,"Sapphire Reserve","Shell","Gasoline/Fuel",,-2.03
2019-12-06,"Sapphire Reserve","Subway","Restaurants",,-6.68
2019-12-06,"Citadel Retirement - X7474","Fid Us Bond Idx - Contribution","Retirement Contributions",,71.08
2019-12-06,"Citadel Retirement - X7474","Fid Intl Index - Contribution","Retirement Contributions",,71.08
2019-12-06,"Citadel Retirement - X7474","Fid 500 Index - Contribution","Retirement Contributions",,73.22
2019-12-06,"Venmo Bank Account","Truong Pham","Healthcare/Medical",,10
2019-12-04,"Sapphire Reserve","Mcdonald's","Restaurants",,-8.8
2019-12-03,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-49.99
2019-12-03,"Sapphire Reserve","Uber","Travel",,-8.5
2019-12-02,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-21.6
2019-12-02,"Sapphire Reserve","H-mart","Groceries",,-14.5
2019-12-02,"Sapphire Reserve","Pho 888 Inc","Restaurants",,-17
2019-12-02,"Sapphire Reserve","Bambu Desserts & Drinks","Restaurants",,-6.06
2019-12-02,"Total Checking - Ending in 1220","Paypal Inst Xfer Medium.com Web Id: Paypalsi77","Dues & Subscriptions",,-5
2019-12-01,"Sapphire Reserve","Macy's","General Merchandise","Reimbursable",-130.1
2019-12-01,"Sapphire Reserve","Pochos","Restaurants",,-39.52
2019-12-01,"Sapphire Reserve","Triple Crown Restaurant","Restaurants",,-42
2019-12-01,"Sapphire Reserve","Macy's","Clothing/Shoes",,-76.47
2019-12-01,"Sapphire Reserve","Uber","Travel",,-9.74
2019-12-01,"Sapphire Reserve","Uber","Travel",,-9.28
2019-12-01,"Sapphire Reserve","Vanille Patisserie","Restaurants",,-16.67
2019-12-01,"Sapphire Reserve","Minghin Cuisine","Restaurants",,-59.06
2019-12-01,"Sapphire Reserve","H-mart","Groceries",,-16.31
2019-12-01,"Sapphire Reserve","Adidas","Clothing/Shoes",,-39.69
2019-11-30,"360 Performance Savings - Ending in 1286","Monthly Interest Paid","Interest",,30.11
2019-11-29,"Citadel Retirement - X7474","Fid Us Bond Idx - Dividend","Securities Trades",,2.86
2019-11-29,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-550
2019-11-29,"Total Checking - Ending in 1220","Atm Withdrawalxx6495 11/x9150 N Mic","Rent",,-535
2019-11-29,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-15.7
2019-11-28,"Amazon Prime - Ending in 0790","Payment Thank You-mobile","Credit Card Payments",,15.7
2019-11-28,"Sapphire Reserve","Uber","Travel",,-9.21
2019-11-28,"Sapphire Reserve","Uber","Travel",,-9.22
2019-11-28,"Sapphire Reserve","Payment Thank You-mobile","Credit Card Payments",,550
2019-11-28,"Sapphire Reserve","Hot Pot","Restaurants",,-61.53
2019-11-28,"Venmo Bank Account","Evelyn Le Paid Quang Tran First Or Many More Mistakes In My 20s","Other Income",,160
2019-11-27,"Venmo Bank Account","Quang Tran Paid Linh Trinh","Restaurants",,-27.4
2019-11-27,"Sapphire Reserve","Uber","Travel",,-8.84
2019-11-27,"Sapphire Reserve","Friend Bbq.","Restaurants",,-25.65
2019-11-26,"Sapphire Reserve","The Purple Pig","Restaurants",,-83.63
2019-11-26,"Sapphire Reserve","Mango Mango Chi-town Llc","Restaurants",,-36.04
2019-11-26,"Sapphire Reserve","Walgreens","Healthcare/Medical",,-10.46
2019-11-25,"Sapphire Reserve","H-mart","Groceries",,-34.07
2019-11-25,"Sapphire Reserve","Daebak Korean Bbq","Restaurants",,-104.57
2019-11-25,"Sapphire Reserve","Uber","Travel",,-12.52
2019-11-25,"Total Checking - Ending in 1220","Atm Withdrawalxx9319 11/2310 S Dear","ATM/Cash",,-100
2019-11-24,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-15.7
2019-11-24,"Sapphire Reserve","H-mart","Groceries",,-25.99
2019-11-24,"Sapphire Reserve","Ventra","Travel",,-33
2019-11-24,"Sapphire Reserve","Uber","Travel",,-30.77
2019-11-24,"Sapphire Reserve","Uber","Travel",,-10.57
2019-11-24,"Sapphire Reserve","Uber","Travel",,-31.25
2019-11-24,"Venmo Bank Account","Quang Tran Paid Truong Pham","Other Expenses",,-9
2019-11-23,"Venmo Bank Account","Quang Tran Paid Truong Pham Pok3r","Other Expenses",,-5
2019-11-22,"Sapphire Reserve","Slurp","Restaurants",,-19.95
2019-11-22,"Total Checking - Ending in 1220","Citadel Securiti Direct Depppd Id: Xxxxxx1102","Paychecks/Salary",,3944.85
2019-11-22,"Venmo Bank Account","Quang Tran Paid Hanh Nguyen Dimsum","Restaurants",,-16
2019-11-22,"Venmo Bank Account","Mango Mango","Restaurants",,-8
2019-11-22,"Citadel Retirement - X7474","Fid Us Bond Idx - Contribution","Retirement Contributions",,71.08
2019-11-22,"Citadel Retirement - X7474","Fid Intl Index - Contribution","Retirement Contributions",,71.08
2019-11-22,"Citadel Retirement - X7474","Fid 500 Index - Contribution","Retirement Contributions",,73.22
2019-11-21,"Chase Savings - Ending in 7709","Monthly Service Fee","Service Charges/Fees",,-0.01
2019-11-21,"Chase Savings - Ending in 7709","Interest Payment","Interest",,0.01
2019-11-20,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-300
2019-11-20,"Sapphire Reserve","Tous Les Jours","Restaurants",,-14.49
2019-11-20,"Sapphire Reserve","Payment Thank You-mobile","Credit Card Payments",,300
2019-11-19,"Sapphire Reserve","Corner Store","Groceries",,-2.67
2019-11-19,"Sapphire Reserve","Corner Store","Groceries",,-8.06
2019-11-19,"Sapphire Reserve","Platinum Parking","Travel",,-20
2019-11-19,"Sapphire Reserve","Ultimate Mirror Maze","Entertainment",,-38.95
2019-11-19,"Sapphire Reserve","Tommy Bahama","Clothing/Shoes",,-53.85
2019-11-19,"Sapphire Reserve","Corner Store","Groceries",,-4.18
2019-11-19,"Sapphire Reserve","Exxonmobil Xxxx6427","Gasoline/Fuel",,-25.67
2019-11-19,"Sapphire Reserve","H-mart","Groceries",,-42.18
2019-11-19,"Sapphire Reserve","Uber","Travel",,-28.64
2019-11-19,"Sapphire Reserve","Garden Restaurant","Restaurants",,-23.49
2019-11-18,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-500
2019-11-18,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-17.27
2019-11-18,"Sapphire Reserve","King","Restaurants",,-8.84
2019-11-18,"Sapphire Reserve","My Canh Chinese Restaurant","Restaurants",,-46
2019-11-18,"Sapphire Reserve","Coca-cola","Groceries",,-2.1
2019-11-18,"Sapphire Reserve","Phillips 66","Gasoline/Fuel",,-21.29
2019-11-18,"Sapphire Reserve","Corner Store","Groceries",,-20.97
2019-11-18,"Sapphire Reserve","Alamo Central Market","Restaurants",,-14.81
2019-11-18,"Sapphire Reserve","Haru Sushi","Restaurants",,-72.24
2019-11-18,"Sapphire Reserve","The Art Of Donut","Restaurants",,-4.79
2019-11-18,"Sapphire Reserve","Pho Bang Restaurant","Restaurants",,-20.59
2019-11-17,"Amazon Prime - Ending in 0790","Payment Thank You-mobile","Credit Card Payments",,17.27
2019-11-17,"Sapphire Reserve","Under Armour","Clothing/Shoes",,-27.05
2019-11-17,"Sapphire Reserve","Uber","Travel",,-78.29
2019-11-17,"Sapphire Reserve","Payment Thank You-mobile","Credit Card Payments",,500
2019-11-16,"Venmo Bank Account","Quang Tran Charged Khoa Nguyen Fish","Other Income",,26.7
2019-11-15,"Sapphire Reserve","H-mart","Groceries",,-18.71
2019-11-15,"Sapphire Reserve","H-mart","Groceries",,-14.79
2019-11-14,"Securities - Ending in 6900","Apple Inc - Cash Div On 169 Shs","Investment Income",,130.13
2019-11-13,"Venmo Bank Account","Quang Tran Charged Lanh Nguyen Fish","Other Income",,26.75
2019-11-13,"Sapphire Reserve","Tan Lu","Restaurants",,-160.53
2019-11-13,"Total Checking - Ending in 1220","Venmo","Transfers",,-16.49
2019-11-12,"Venmo Bank Account","Quang Tran Charged Truong Pham C","Other Income",,26.75
2019-11-12,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-40
2019-11-12,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-200
2019-11-12,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-20.94
2019-11-12,"Sapphire Reserve","Tous Les Jours","Restaurants",,-14.89
2019-11-11,"Sapphire Reserve","Uber","Travel",,-20.99
2019-11-11,"Sapphire Reserve","Shedd Aquarium","Entertainment",,-4.95
2019-11-10,"Venmo Bank Account","Uber Eats","Restaurants",,-16.49
2019-11-10,"Venmo Bank Account","Rom Bui Paid Quang Tran Tanlu","Other Income",,26.75
2019-11-10,"Venmo Bank Account","Uber Eats","Restaurants",,-2.47
2019-11-10,"Venmo Bank Account","Minh Nguyen Paid Quang Tran Tanlu","Other Income",,27
2019-11-10,"Amazon Prime - Ending in 0790","Wj Noodles","Restaurants",,-24.07
2019-11-10,"Amazon Prime - Ending in 0790","Payment Thank You - Web","Credit Card Payments",,40
2019-11-10,"Amazon Prime - Ending in 0790","Amazon","General Merchandise",,-12.26
2019-11-10,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,200
2019-11-10,"Sapphire Reserve","H-mart","Groceries",,-25.57
2019-11-10,"Freedom Unlimited","State Farm","Insurance",,-108.22
2019-11-08,"Sapphire Reserve","Too Thai Street Eats","Restaurants",,-56.4
2019-11-08,"Total Checking - Ending in 1220","Citadel Securiti Direct Depppd Id: Xxxxxx1102","Paychecks/Salary",,3964.7
2019-11-08,"Citadel Retirement - X7474","Fid Us Bond Idx - Contribution","Retirement Contributions",,71.08
2019-11-08,"Citadel Retirement - X7474","Fid Intl Index - Contribution","Retirement Contributions",,71.08
2019-11-08,"Citadel Retirement - X7474","Fid 500 Index - Contribution","Retirement Contributions",,73.22
2019-11-07,"Total Checking - Ending in 1220","Fb *marlenne Monroy Pay.fb.com Ca 11/06","Utilities",,-30.17
2019-11-06,"Total Checking - Ending in 1220","Paypal Inst Xfer Netflix.com Web Id: Paypalsi77","Dues & Subscriptions",,-14.06
2019-11-06,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-450.93
2019-11-06,"Sapphire Reserve","Airbnb","Travel",,-73.72
2019-11-06,"Sapphire Reserve","Payment Thank You-mobile","Credit Card Payments",,450.93
2019-11-04,"Sapphire Reserve","Hanabi","Restaurants",,-27.28
2019-11-04,"Sapphire Reserve","Uber","Travel",,-40.69
2019-11-04,"Sapphire Reserve","H-mart","Groceries",,-142
2019-11-04,"Sapphire Reserve","The Kickin Crab","Restaurants",,-63.13
2019-11-04,"Sapphire Reserve","De Nhat Kho Bo Snack","Restaurants",,-61.62
2019-11-03,"Sapphire Reserve","Cvs Pharmacy","Healthcare/Medical",,-7.71
2019-11-03,"Sapphire Reserve","Uber","Travel",,-39.99
2019-11-03,"Sapphire Reserve","Shake Shack","Restaurants",,-11.57
2019-11-03,"Sapphire Reserve","Fandango","Entertainment",,-24.24
2019-11-03,"Sapphire Reserve","Kinokuniya Bookstore","Hobbies",,-29.22
2019-11-03,"Sapphire Reserve","Argo Tea","Restaurants",,-3.48
2019-11-01,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-378.61
2019-11-01,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,378.61
2019-10-31,"Total Checking - Ending in 1220","Paypal Inst Xfer Medium.com Web Id: Paypalsi77","Dues & Subscriptions",,-5
2019-10-31,"Sapphire Reserve","H-mart","Groceries",,-12.25
2019-10-31,"Sapphire Reserve","H-mart","Groceries",,-13.14
2019-10-31,"Citadel Retirement - X7474","Fid Us Bond Idx - Dividend","Securities Trades",,0.89
2019-10-30,"Sapphire Reserve","Ventra","Travel",,-20
2019-10-30,"Sapphire Reserve","Southwest Airlines","Travel",,-223.98
2019-10-30,"Sapphire Reserve","Fandango","Entertainment",,-20.45
2019-10-29,"Chase Savings - Ending in 7709","Capital One","Online Services","Reimbursable",-20000.48
2019-10-29,"Sapphire Reserve","Iron Age","Restaurants",,-32.53
2019-10-28,"Sapphire Reserve","Pho 777 Restaurant","Restaurants",,-23.46
2019-10-28,"Sapphire Reserve","Donalds Hot Dogs","Restaurants",,-7.68
2019-10-28,"Sapphire Reserve","Dunkin' Donuts","Restaurants",,-3.65
2019-10-28,"Total Checking - Ending in 1220","Online Transfer To Sav ...7709 Transaction#: Xxxxxx2455","Transfers",,-20000.48
2019-10-28,"Total Checking - Ending in 1220","Atm Withdrawalxx8219 10/2855 E Monr","Rent",,-400
2019-10-28,"Total Checking - Ending in 1220","Venmo","Transfers",,1447.07
2019-10-28,"Chase Savings - Ending in 7709","Online Transfer From Chk ...1220transaction#: Xxxxxx2455","Transfers",,20000.48
2019-10-27,"Venmo Bank Account","Quang Tran Paid Marcus Teng","Clothing/Shoes",,-2.12
2019-10-27,"Venmo Bank Account","Jpmorgan","Transfers",,-1447.07
2019-10-27,"Sapphire Reserve","Wasabi Restaurant","Restaurants",,-32.63
2019-10-27,"Sapphire Reserve","Bingo Tea","Restaurants",,-5.8
2019-10-25,"Total Checking - Ending in 1220","Citadel Securiti Direct Depppd Id: Xxxxxx1102","Paychecks/Salary",,2013.3
2019-10-25,"Citadel Retirement - X7474","Fid Us Bond Idx - Contribution","Retirement Contributions",,767.29
2019-10-25,"Citadel Retirement - X7474","Fid Intl Index - Contribution","Retirement Contributions",,767.29
2019-10-25,"Citadel Retirement - X7474","Fid 500 Index - Contribution","Retirement Contributions",,790.51
2019-10-24,"Sapphire Reserve","Cvs Pharmacy","Healthcare/Medical",,-7.71
2019-10-24,"Freedom Unlimited","Apple","Electronics",,361.26
2019-10-23,"Sapphire Reserve","Morocco Fish & Chicken","Restaurants",,-6
2019-10-23,"Total Checking - Ending in 1220","Online Transfer To Sav ...7709 Transaction#: Xxxxxx6873","Transfers",,-0.18
2019-10-23,"Chase Savings - Ending in 7709","Capital One","Online Services",,-0.18
2019-10-23,"Chase Savings - Ending in 7709","Online Transfer From Chk ...1220transaction#: Xxxxxx6873","Transfers",,0.18
2019-10-23,"High Yield Cd 5-year - Ending in 5088","Ally Bank","Transfers",,40000
2019-10-22,"Total Checking - Ending in 1220","Online Transfer To Sav ...7709 Transaction#: Xxxxxx2680","Transfers",,-19999.2
2019-10-22,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-1000
2019-10-22,"Chase Savings - Ending in 7709","Capital One","Deposits",,0.04
2019-10-22,"Chase Savings - Ending in 7709","Ally Bank","Transfers",,-40000
2019-10-22,"Chase Savings - Ending in 7709","Online Transfer From Chk ...1220transaction#: Xxxxxx2680","Transfers",,19999.2
2019-10-22,"Chase Savings - Ending in 7709","Capital One","Deposits",,0.14
2019-10-22,"Sapphire Reserve","Southwest Airlines","Travel",,305.48
2019-10-22,"Sapphire Reserve","Payment Thank You - Web","Credit Card Payments",,1000
2019-10-22,"Sapphire Reserve","Southwest Airlines","Travel",,-305.48
2019-10-22,"Sapphire Reserve","Mcdonald's","Restaurants",,-8.56
2019-10-22,"Sapphire Reserve","Southwest Airlines","Travel",,-916.44
2019-10-21,"Sapphire Reserve","Chipotle Mexican Grill","Restaurants",,-8.36
2019-10-21,"Sapphire Reserve","H-mart","Groceries",,-6.11
2019-10-21,"Sapphire Reserve","H-mart","Groceries",,-13.14
2019-10-21,"Freedom Unlimited","Payment Thank You - Web","Credit Card Payments",,387.82
2019-10-21,"Total Checking - Ending in 1220","Chase","Credit Card Payments",,-387.82
2019-10-21,"Chase Savings - Ending in 7709","Federal Interest Withheld","Service Charges/Fees",,-0.04
2019-10-21,"Chase Savings - Ending in 7709","Interest Payment","Interest",,0.18
2019-10-20,"Venmo Bank Account","Quan Dinh Paid Quang Tran","Other Income",,898.11
2019-10-20,"Sapphire Reserve","Cracker Barrel","Restaurants",,-13.97
2019-10-20,"Sapphire Reserve","Apple","Groceries",,-30.99
2019-10-20,"Sapphire Reserve","Apple","Groceries",,-4.33
2019-10-20,"Freedom Unlimited","Apple","Electronics",,-387.82
